,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"N - Judah - Two Cars",,,,,,,,,,,,,,,,,,,,,"Inbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"Judah St&31st Ave NE-NS/SI","70","598","4096","7","35","336","27","108","754","20","154","706","12","197","1452","3","88","658","1","16","190"
,"Judah St&34th Ave NE-NS/SI","21","391","3726","3","20","319","5","59","700","8","85","629","3","151","1304","2","68","592","0","8","182"
,"Judah St&Sunset Blvd NE-NS/SI","143","594","3275","13","48","284","12","91","621","26","110","545","84","230","1158","5","100","497","3","15","170"
,"Judah St&40th Ave NE-NS/SI","29","563","2741","1","24","261","10","93","538","8","132","421","6","217","947","3","75","425","1","22","149"
,"Judah St&43rd Ave NE-NS/SI","29","529","2241","5","27","239","7","96","449","6","92","335","10","224","733","0","75","350","1","15","135"
,"Judah St&46th Ave NE-NS/SI","18","1067","1192","0","77","162","4","182","271","1","173","163","8","413","328","5","174","181","0","48","87"
,"Judah St&La Playa St NE-NS","3","490","705","0","39","123","0","113","158","0","79","84","3","167","164","0","72","109","0","20","67"
,"Judah St&La Playa St NW-FS","0","664","41","0","87","36","0","158","0","0","82","2","0","164","0","0","107","2","0","66","1"
,"Total Passenger Boardings ","22922","22883",,"2884","2850",,"4424","4424",,"3631","3629",,"7688","7688",,"3443","3441",,"852","851",
,"Passenger Miles ","67817.27",,,"7503.79",,,"11187.79",,,"10141.345",,,"25210.31",,,"10981.62",,,"2792.4225",,
,"Average Passenger Trip Length ","2.95861050519152",,,"2.60186893203884",,,"2.5288856238698",,,"2.79298815753236",,,"3.27917663891779",,,"3.18954981121115",,,"3.2774882629108",,
,
,"Stop selected in Loading Analysis Report"
,,,,,,,,,,,,,,,,,,,

